model,model_name,temperature,n_scenarios,mean_NCI,sd_NCI,mean_accuracy,sd_accuracy,total_valid_responses,total_errors,n_perfect_consistency,pct_perfect_consistency
claude,claude-opus-4-5,0.0,30,1.0,0.0,1.0,0.0,880,20,30,100.0
claude,claude-opus-4-5,0.5,30,0.996486,0.019247,0.998889,0.006086,887,13,29,96.67
claude,claude-opus-4-5,1.0,30,0.984105,0.062342,0.992939,0.028569,884,16,28,93.33
gemini,gemini-2.5-flash-lite,0.0,30,1.0,0.0,0.966667,0.182574,892,8,30,100.0
gemini,gemini-2.5-flash-lite,0.5,30,0.996486,0.019247,0.965556,0.182466,900,0,29,96.67
gemini,gemini-2.5-flash-lite,1.0,30,0.990558,0.051715,0.962222,0.183356,897,3,29,96.67
gemini,gemini-2.5-flash-lite,1.5,30,0.966846,0.076209,0.953333,0.183328,897,3,24,80.0
gpt,gpt-4o,0.0,30,0.985312,0.08045,0.923333,0.256882,900,0,29,96.67
gpt,gpt-4o,0.5,30,0.970112,0.100874,0.914444,0.259632,900,0,27,90.0
gpt,gpt-4o,1.0,30,0.949706,0.139108,0.911111,0.248572,899,1,26,86.67
gpt,gpt-4o,1.5,30,0.930425,0.175774,0.916667,0.228228,900,0,25,83.33
