model,temp,n_items,mean_NCI,sd_NCI,mean_accuracy,sd_accuracy
gpt-4o,0.0,90,0.9919,0.0575,0.9433,0.229
gpt-4o,0.5,90,0.981,0.0875,0.9437,0.2165
gpt-4o,1.0,90,0.967,0.1118,0.9419,0.2061
gpt-4o,1.5,90,0.9399,0.1519,0.9367,0.1958
claude-opus-4.5,0.0,90,1.0,0.0,0.9778,0.1474
claude-opus-4.5,0.5,90,0.9988,0.011,0.9774,0.1474
claude-opus-4.5,1.0,90,0.9956,0.0411,0.9752,0.149
gemini-2.5-flash-lite,0.0,90,1.0,0.0,0.9333,0.2494
gemini-2.5-flash-lite,0.5,90,0.9869,0.0599,0.9322,0.2405
gemini-2.5-flash-lite,1.0,90,0.9513,0.1322,0.9222,0.2335
gemini-2.5-flash-lite,1.5,90,0.9316,0.1649,0.9152,0.2313
